id,type,group,name
0,7,pm,vbat
1,2,pm,vbatMV
2,4,pm,state
3,1,radio,rssi
4,1,radio,isConnected
5,2,radio,numRxBc
6,2,radio,numRxUc
7,2,crtp,rxRate
8,2,crtp,txRate
9,4,sys,testLogParam
10,3,memTst,errCntW
11,2,supervisor,info
12,1,sys,canfly
13,1,sys,isFlying
14,1,sys,isTumbled
15,2,locSrvZ,tick
16,7,locSrv,x
17,7,locSrv,y
18,7,locSrv,z
19,7,locSrv,qx
20,7,locSrv,qy
21,7,locSrv,qz
22,7,locSrv,qw
23,7,ext_pos,X
24,7,ext_pos,Y
25,7,ext_pos,Z
26,7,sensfusion6,qw
27,7,sensfusion6,qx
28,7,sensfusion6,qy
29,7,sensfusion6,qz
30,7,sensfusion6,gravityX
31,7,sensfusion6,gravityY
32,7,sensfusion6,gravityZ
33,7,sensfusion6,accZbase
34,1,sensfusion6,isInit
35,1,sensfusion6,isCalibrated
36,6,motor,m1req
37,6,motor,m2req
38,6,motor,m3req
39,6,motor,m4req
40,5,stateEstimateZ,x
41,5,stateEstimateZ,y
42,5,stateEstimateZ,z
43,5,stateEstimateZ,vx
44,5,stateEstimateZ,vy
45,5,stateEstimateZ,vz
46,5,stateEstimateZ,ax
47,5,stateEstimateZ,ay
48,5,stateEstimateZ,az
49,3,stateEstimateZ,quat
50,5,stateEstimateZ,rateRoll
51,5,stateEstimateZ,ratePitch
52,5,stateEstimateZ,rateYaw
53,7,stateEstimate,x
54,7,stateEstimate,y
55,7,stateEstimate,z
56,7,stateEstimate,vx
57,7,stateEstimate,vy
58,7,stateEstimate,vz
59,7,stateEstimate,ax
60,7,stateEstimate,ay
61,7,stateEstimate,az
62,7,stateEstimate,roll
63,7,stateEstimate,pitch
64,7,stateEstimate,yaw
65,7,stateEstimate,qx
66,7,stateEstimate,qy
67,7,stateEstimate,qz
68,7,stateEstimate,qw
69,5,controller,ctr_yaw
70,7,mag,x
71,7,mag,y
72,7,mag,z
73,7,gyro,x
74,7,gyro,y
75,7,gyro,z
76,7,baro,asl
77,7,baro,temp
78,7,baro,pressure
79,7,acc,x
80,7,acc,y
81,7,acc,z
82,7,stabilizer,roll
83,7,stabilizer,pitch
84,7,stabilizer,yaw
85,7,stabilizer,thrust
86,7,stabilizer,rtStab
87,3,stabilizer,intToOut
88,5,ctrltargetZ,x
89,5,ctrltargetZ,y
90,5,ctrltargetZ,z
91,5,ctrltargetZ,vx
92,5,ctrltargetZ,vy
93,5,ctrltargetZ,vz
94,5,ctrltargetZ,ax
95,5,ctrltargetZ,ay
96,5,ctrltargetZ,az
97,7,ctrltarget,x
98,7,ctrltarget,y
99,7,ctrltarget,z
100,7,ctrltarget,vx
101,7,ctrltarget,vy
102,7,ctrltarget,vz
103,7,ctrltarget,ax
104,7,ctrltarget,ay
105,7,ctrltarget,az
106,7,ctrltarget,roll
107,7,ctrltarget,pitch
108,7,ctrltarget,yaw
109,7,posEstAlt,estimatedZ
110,7,posEstAlt,estVZ
111,7,posEstAlt,velocityZ
112,7,estimator,rtApnd
113,7,estimator,rtRej
114,6,outlierf,lhWin
115,7,kalman,stateX
116,7,kalman,stateY
117,7,kalman,stateZ
118,7,kalman,statePX
119,7,kalman,statePY
120,7,kalman,statePZ
121,7,kalman,stateD0
122,7,kalman,stateD1
123,7,kalman,stateD2
124,7,kalman,varX
125,7,kalman,varY
126,7,kalman,varZ
127,7,kalman,varPX
128,7,kalman,varPY
129,7,kalman,varPZ
130,7,kalman,varD0
131,7,kalman,varD1
132,7,kalman,varD2
133,7,kalman,q0
134,7,kalman,q1
135,7,kalman,q2
136,7,kalman,q3
137,7,kalman,rtUpdate
138,7,kalman,rtPred
139,7,kalman,rtFinal
140,7,kalman_pred,predNX
141,7,kalman_pred,predNY
142,7,kalman_pred,measNX
143,7,kalman_pred,measNY
144,7,ukf,rtUpdate
145,7,ukf,rtPred
146,7,ukf,rtBaro
147,7,ukf,rtFinal
148,7,ukf,rtApnd
149,7,ukf,rtRej
150,7,sensorFilter,dxPx
151,7,sensorFilter,dyPx
152,7,sensorFilter,dxPxPred
153,7,sensorFilter,dyPxPred
154,7,sensorFilter,distPred
155,7,sensorFilter,distMeas
156,7,sensorFilter,baroHeight
157,7,sensorFilter,innoChFlow_x
158,7,sensorFilter,innoChFlow_y
159,7,sensorFilter,innoChTof
160,7,sensorFilter,distTWR
161,7,navFilter,posX
162,7,navFilter,posY
163,7,navFilter,posZ
164,7,navFilter,accX
165,7,navFilter,accY
166,7,navFilter,accZ
167,7,navFilter,omegaX
168,7,navFilter,omegaY
169,7,navFilter,omegaZ
170,7,navFilter,Phi
171,7,navFilter,Theta
172,7,navFilter,Psi
173,7,navFilter,Px
174,7,navFilter,Pvx
175,7,navFilter,Pattx
176,3,navFilter,nanCounter
177,7,navFilter,range
178,7,navFilter,procTimeFilter
179,1,navFilter,recAnchorId
180,6,outlierf,bucket0
181,6,outlierf,bucket1
182,6,outlierf,bucket2
183,6,outlierf,bucket3
184,6,outlierf,bucket4
185,7,outlierf,accLev
186,7,outlierf,errD
187,7,pid_rate,roll_outP
188,7,pid_rate,roll_outI
189,7,pid_rate,roll_outD
190,7,pid_rate,roll_outFF
191,7,pid_rate,pitch_outP
192,7,pid_rate,pitch_outI
193,7,pid_rate,pitch_outD
194,7,pid_rate,pitch_outFF
195,7,pid_rate,yaw_outP
196,7,pid_rate,yaw_outI
197,7,pid_rate,yaw_outD
198,7,pid_rate,yaw_outFF
199,7,pid_attitude,roll_outP
200,7,pid_attitude,roll_outI
201,7,pid_attitude,roll_outD
202,7,pid_attitude,roll_outFF
203,7,pid_attitude,pitch_outP
204,7,pid_attitude,pitch_outI
205,7,pid_attitude,pitch_outD
206,7,pid_attitude,pitch_outFF
207,7,pid_attitude,yaw_outP
