id,type,readonly,group,name
0,8,0,system,storageStats
1,8,0,system,storageReformat
2,8,1,deck,bcFlow
3,8,1,deck,bcFlow2
4,8,1,deck,bcLighthouse4
5,8,1,deck,bcLoco
6,8,1,deck,bcDWM1000
7,8,1,deck,bcZRanger
8,8,1,deck,bcZRanger2
9,8,1,imu_tests,MPU6500_SIM
10,8,1,imu_tests,HMC5883L_SIM
11,8,1,imu_tests,MS5611_SIM
12,8,1,imu_sensors,HMC5883L_SIM
13,8,1,imu_sensors,MS5611_SIM
14,0,1,system,selftestPassed
15,8,0,system,assertInfo
16,8,0,system,testLogParam
17,8,0,system,doAssert
18,9,0,crtpsrv,echoDelay
19,8,0,system,taskDump
20,8,0,memTst,resetW
21,8,0,supervisor,infdmp
22,9,0,supervisor,landedTimeout
23,0,0,system,arm
24,8,0,stabilizer,stop
25,8,0,commander,enHighLevel
26,8,0,flightmode,althold
27,8,0,flightmode,poshold
28,8,0,flightmode,posSet
29,8,0,flightmode,yawMode
30,8,0,flightmode,stabModeRoll
31,8,0,flightmode,stabModePitch
32,8,0,flightmode,stabModeYaw
33,6,0,cppm,rateRoll
34,6,0,cppm,ratePitch
35,6,0,cppm,angPitch
36,6,0,cppm,angRoll
37,6,0,cppm,rateYaw
38,8,0,locSrv,enRangeStreamFP32
39,8,0,locSrv,enLhAngleStream
40,6,0,locSrv,extPosStdDev
41,6,0,locSrv,extQuatStdDev
42,6,0,sensfusion6,kp
43,6,0,sensfusion6,ki
44,6,0,sensfusion6,baseZacc
45,8,0,stabilizer,estimator
46,8,0,stabilizer,controller
47,6,0,posEstAlt,estAlphaAsl
48,6,0,posEstAlt,estAlphaZr
49,6,0,posEstAlt,velFactor
50,6,0,posEstAlt,velZAlpha
51,6,0,posEstAlt,vAccDeadband
52,8,0,kalman,resetEstimation
53,8,0,kalman,robustTdoa
54,8,0,kalman,robustTwr
55,6,0,kalman,pNAcc_xy
56,6,0,kalman,pNAcc_z
57,6,0,kalman,pNVel
58,6,0,kalman,pNPos
59,6,0,kalman,pNAtt
60,6,0,kalman,mNBaro
61,6,0,kalman,mNGyro_rollpitch
62,6,0,kalman,mNGyro_yaw
63,6,0,kalman,initialX
64,6,0,kalman,initialY
65,6,0,kalman,initialZ
66,6,0,kalman,initialYaw
67,6,0,kalman,maxPos
68,6,0,kalman,maxVel
69,8,0,ukf,resetEstimation
70,8,0,ukf,useNavFilter
71,6,0,ukf,sigmaInitPos_xy
72,6,0,ukf,sigmaInitPos_z
73,6,0,ukf,sigmaInitVel
74,6,0,ukf,sigmaInitAtt
75,6,0,ukf,procNoiseA_h
76,6,0,ukf,procNoiseA_z
77,6,0,ukf,procNoiseVel_h
78,6,0,ukf,procNoiseVel_z
79,6,0,ukf,procNoiseRate_h
80,6,0,ukf,procNoiseRate_z
81,6,0,ukf,baroNoise
82,6,0,ukf,qualityGateTof
83,6,0,ukf,qualityGateFlow
84,6,0,ukf,qualityGateTdoa
85,6,0,ukf,qualityGateBaro
86,6,0,ukf,qualityGateSweep
87,6,0,ukf,ukfw0
88,6,0,pid_rate,roll_kp
89,6,0,pid_rate,roll_ki
90,6,0,pid_rate,roll_kd
91,6,0,pid_rate,roll_kff
92,6,0,pid_rate,pitch_kp
93,6,0,pid_rate,pitch_ki
94,6,0,pid_rate,pitch_kd
95,6,0,pid_rate,pitch_kff
96,6,0,pid_rate,yaw_kp
97,6,0,pid_rate,yaw_ki
98,6,0,pid_rate,yaw_kd
99,6,0,pid_rate,yaw_kff
100,0,0,pid_rate,rateFiltEn
101,6,0,pid_rate,omxFiltCut
102,6,0,pid_rate,omyFiltCut
103,6,0,pid_rate,omzFiltCut
104,6,0,pid_attitude,roll_kp
105,6,0,pid_attitude,roll_ki
106,6,0,pid_attitude,roll_kd
107,6,0,pid_attitude,roll_kff
108,6,0,pid_attitude,pitch_kp
109,6,0,pid_attitude,pitch_ki
110,6,0,pid_attitude,pitch_kd
111,6,0,pid_attitude,pitch_kff
112,6,0,pid_attitude,yaw_kp
113,6,0,pid_attitude,yaw_ki
114,6,0,pid_attitude,yaw_kd
115,6,0,pid_attitude,yaw_kff
116,6,0,pid_attitude,yawMaxDelta
117,0,0,pid_attitude,attFiltEn
118,6,0,pid_attitude,attFiltCut
119,6,0,posCtlPid,xKp
120,6,0,posCtlPid,xKi
121,6,0,posCtlPid,xKd
122,6,0,posCtlPid,xKff
123,6,0,posCtlPid,yKp
124,6,0,posCtlPid,yKi
125,6,0,posCtlPid,yKd
126,6,0,posCtlPid,yKff
127,6,0,posCtlPid,zKp
128,6,0,posCtlPid,zKi
129,6,0,posCtlPid,zKd
130,6,0,posCtlPid,zKff
131,9,0,posCtlPid,thrustBase
132,9,0,posCtlPid,thrustMin
133,6,0,posCtlPid,rLimit
134,6,0,posCtlPid,pLimit
135,6,0,posCtlPid,xVelMax
136,6,0,posCtlPid,yVelMax
137,6,0,posCtlPid,zVelMax
138,6,0,velCtlPid,vxKp
139,6,0,velCtlPid,vxKi
140,6,0,velCtlPid,vxKd
141,6,0,velCtlPid,vxKFF
142,6,0,velCtlPid,vyKp
143,6,0,velCtlPid,vyKi
144,6,0,velCtlPid,vyKd
145,6,0,velCtlPid,vyKFF
146,6,0,velCtlPid,vzKp
147,6,0,velCtlPid,vzKi
148,6,0,velCtlPid,vzKd
149,6,0,velCtlPid,vzKFF
