blue1_mass,blue2_mass,blue_win_rate,red_win_rate,timeout_rate,n_episodes
0.0306,0.0306,0.7140,0.2860,0.0000,1000
0.0306,0.0326,0.8230,0.1770,0.0000,1000
0.0306,0.0346,0.8690,0.1310,0.0000,1000
0.0306,0.0366,0.8970,0.1030,0.0000,1000
0.0306,0.0386,0.9030,0.0970,0.0000,1000
0.0306,0.0406,0.8890,0.1110,0.0000,1000
0.0306,0.0426,0.8680,0.1320,0.0000,1000
0.0306,0.0446,0.7300,0.2700,0.0000,1000
0.0306,0.0466,0.6180,0.3820,0.0000,1000
0.0306,0.0486,0.4580,0.5420,0.0000,1000
0.0306,0.0506,0.3100,0.6900,0.0000,1000
0.0326,0.0306,0.7240,0.2760,0.0000,1000
0.0326,0.0326,0.8550,0.1450,0.0000,1000
0.0326,0.0346,0.9240,0.0760,0.0000,1000
0.0326,0.0366,0.9390,0.0610,0.0000,1000
0.0326,0.0386,0.9570,0.0430,0.0000,1000
0.0326,0.0406,0.9290,0.0710,0.0000,1000
0.0326,0.0426,0.8910,0.1090,0.0000,1000
0.0326,0.0446,0.7810,0.2190,0.0000,1000
0.0326,0.0466,0.6280,0.3720,0.0000,1000
0.0326,0.0486,0.4610,0.5390,0.0000,1000
0.0326,0.0506,0.3390,0.6610,0.0000,1000
0.0346,0.0306,0.7310,0.2690,0.0000,1000
0.0346,0.0326,0.8680,0.1320,0.0000,1000
0.0346,0.0346,0.9420,0.0580,0.0000,1000
0.0346,0.0366,0.9600,0.0400,0.0000,1000
0.0346,0.0386,0.9640,0.0360,0.0000,1000
0.0346,0.0406,0.9460,0.0540,0.0000,1000
0.0346,0.0426,0.9260,0.0740,0.0000,1000
0.0346,0.0446,0.8350,0.1650,0.0000,1000
0.0346,0.0466,0.6840,0.3160,0.0000,1000
0.0346,0.0486,0.4970,0.5030,0.0000,1000
0.0346,0.0506,0.3520,0.6480,0.0000,1000
0.0366,0.0306,0.6930,0.3070,0.0000,1000
0.0366,0.0326,0.8560,0.1440,0.0000,1000
0.0366,0.0346,0.9230,0.0770,0.0000,1000
0.0366,0.0366,0.9630,0.0370,0.0000,1000
0.0366,0.0386,0.9750,0.0250,0.0000,1000
0.0366,0.0406,0.9750,0.0250,0.0000,1000
0.0366,0.0426,0.9600,0.0400,0.0000,1000
0.0366,0.0446,0.8940,0.1060,0.0000,1000
0.0366,0.0466,0.7800,0.2200,0.0000,1000
0.0366,0.0486,0.5920,0.4080,0.0000,1000
0.0366,0.0506,0.3880,0.6120,0.0000,1000
0.0386,0.0306,0.6460,0.3540,0.0000,1000
0.0386,0.0326,0.8250,0.1750,0.0000,1000
0.0386,0.0346,0.9320,0.0680,0.0000,1000
0.0386,0.0366,0.9540,0.0460,0.0000,1000
0.0386,0.0386,0.9750,0.0250,0.0000,1000
0.0386,0.0406,0.9770,0.0230,0.0000,1000
0.0386,0.0426,0.9750,0.0250,0.0000,1000
0.0386,0.0446,0.9250,0.0750,0.0000,1000
0.0386,0.0466,0.8500,0.1500,0.0000,1000
0.0386,0.0486,0.6680,0.3320,0.0000,1000
0.0386,0.0506,0.4330,0.5670,0.0000,1000
0.0406,0.0306,0.5920,0.4080,0.0000,1000
0.0406,0.0326,0.7490,0.2510,0.0000,1000
0.0406,0.0346,0.8700,0.1300,0.0000,1000
0.0406,0.0366,0.9520,0.0480,0.0000,1000
0.0406,0.0386,0.9770,0.0230,0.0000,1000
0.0406,0.0406,0.9760,0.0240,0.0000,1000
0.0406,0.0426,0.9780,0.0220,0.0000,1000
0.0406,0.0446,0.9590,0.0410,0.0000,1000
0.0406,0.0466,0.8840,0.1160,0.0000,1000
0.0406,0.0486,0.7680,0.2320,0.0000,1000
0.0406,0.0506,0.5480,0.4520,0.0000,1000
0.0426,0.0306,0.5370,0.4630,0.0000,1000
0.0426,0.0326,0.6620,0.3380,0.0000,1000
0.0426,0.0346,0.8280,0.1720,0.0000,1000
0.0426,0.0366,0.9260,0.0740,0.0000,1000
0.0426,0.0386,0.9730,0.0270,0.0000,1000
0.0426,0.0406,0.9870,0.0130,0.0000,1000
0.0426,0.0426,0.9880,0.0120,0.0000,1000
0.0426,0.0446,0.9590,0.0410,0.0000,1000
0.0426,0.0466,0.9110,0.0890,0.0000,1000
0.0426,0.0486,0.8250,0.1750,0.0000,1000
0.0426,0.0506,0.6610,0.3390,0.0000,1000
0.0446,0.0306,0.5170,0.4830,0.0000,1000
0.0446,0.0326,0.6350,0.3650,0.0000,1000
0.0446,0.0346,0.7640,0.2360,0.0000,1000
0.0446,0.0366,0.8880,0.1120,0.0000,1000
0.0446,0.0386,0.9570,0.0430,0.0000,1000
0.0446,0.0406,0.9820,0.0180,0.0000,1000
0.0446,0.0426,0.9800,0.0200,0.0000,1000
0.0446,0.0446,0.9710,0.0290,0.0000,1000
0.0446,0.0466,0.9350,0.0650,0.0000,1000
0.0446,0.0486,0.8490,0.1510,0.0000,1000
0.0446,0.0506,0.7550,0.2450,0.0000,1000
0.0466,0.0306,0.4520,0.5480,0.0000,1000
0.0466,0.0326,0.5910,0.4090,0.0000,1000
0.0466,0.0346,0.7200,0.2800,0.0000,1000
0.0466,0.0366,0.8520,0.1480,0.0000,1000
0.0466,0.0386,0.9450,0.0550,0.0000,1000
0.0466,0.0406,0.9730,0.0270,0.0000,1000
0.0466,0.0426,0.9710,0.0290,0.0000,1000
0.0466,0.0446,0.9690,0.0310,0.0000,1000
0.0466,0.0466,0.9280,0.0720,0.0000,1000
0.0466,0.0486,0.8840,0.1160,0.0000,1000
0.0466,0.0506,0.7640,0.2360,0.0000,1000
0.0486,0.0306,0.4410,0.5590,0.0000,1000
0.0486,0.0326,0.5460,0.4540,0.0000,1000
0.0486,0.0346,0.6680,0.3320,0.0000,1000
0.0486,0.0366,0.8220,0.1780,0.0000,1000
0.0486,0.0386,0.9000,0.1000,0.0000,1000
0.0486,0.0406,0.9610,0.0390,0.0000,1000
0.0486,0.0426,0.9720,0.0280,0.0000,1000
0.0486,0.0446,0.9580,0.0420,0.0000,1000
0.0486,0.0466,0.9340,0.0660,0.0000,1000
0.0486,0.0486,0.8610,0.1390,0.0000,1000
0.0486,0.0506,0.7810,0.2190,0.0000,1000
0.0506,0.0306,0.4080,0.5920,0.0000,1000
0.0506,0.0326,0.5100,0.4900,0.0000,1000
0.0506,0.0346,0.6730,0.3270,0.0000,1000
0.0506,0.0366,0.7800,0.2200,0.0000,1000
0.0506,0.0386,0.8820,0.1180,0.0000,1000
0.0506,0.0406,0.9320,0.0680,0.0000,1000
0.0506,0.0426,0.9490,0.0510,0.0000,1000
0.0506,0.0446,0.9390,0.0610,0.0000,1000
0.0506,0.0466,0.9050,0.0950,0.0000,1000
0.0506,0.0486,0.8300,0.1700,0.0000,1000
0.0506,0.0506,0.7260,0.2740,0.0000,1000
