blue1_mass,blue2_mass,blue_win_rate,red_win_rate,timeout_rate,n_episodes
0.0306,0.0306,0.6320,0.3680,0.0000,1000
0.0306,0.0326,0.7340,0.2660,0.0000,1000
0.0306,0.0346,0.7660,0.2340,0.0000,1000
0.0306,0.0366,0.7750,0.2250,0.0000,1000
0.0306,0.0386,0.7540,0.2460,0.0000,1000
0.0306,0.0406,0.7560,0.2440,0.0000,1000
0.0306,0.0426,0.7570,0.2430,0.0000,1000
0.0306,0.0446,0.5980,0.4020,0.0000,1000
0.0306,0.0466,0.4880,0.5120,0.0000,1000
0.0306,0.0486,0.3130,0.6870,0.0000,1000
0.0306,0.0506,0.1550,0.8450,0.0000,1000
0.0326,0.0306,0.6350,0.3650,0.0000,1000
0.0326,0.0326,0.7660,0.2340,0.0000,1000
0.0326,0.0346,0.8070,0.1930,0.0000,1000
0.0326,0.0366,0.8350,0.1650,0.0000,1000
0.0326,0.0386,0.8080,0.1920,0.0000,1000
0.0326,0.0406,0.8170,0.1830,0.0000,1000
0.0326,0.0426,0.8000,0.2000,0.0000,1000
0.0326,0.0446,0.6720,0.3280,0.0000,1000
0.0326,0.0466,0.5680,0.4320,0.0000,1000
0.0326,0.0486,0.3760,0.6240,0.0000,1000
0.0326,0.0506,0.1740,0.8260,0.0000,1000
0.0346,0.0306,0.5590,0.4410,0.0000,1000
0.0346,0.0326,0.7430,0.2570,0.0000,1000
0.0346,0.0346,0.8640,0.1360,0.0000,1000
0.0346,0.0366,0.8750,0.1250,0.0000,1000
0.0346,0.0386,0.8610,0.1390,0.0000,1000
0.0346,0.0406,0.8430,0.1570,0.0000,1000
0.0346,0.0426,0.8280,0.1720,0.0000,1000
0.0346,0.0446,0.7640,0.2360,0.0000,1000
0.0346,0.0466,0.6580,0.3420,0.0000,1000
0.0346,0.0486,0.4330,0.5670,0.0000,1000
0.0346,0.0506,0.2250,0.7750,0.0000,1000
0.0366,0.0306,0.5710,0.4290,0.0000,1000
0.0366,0.0326,0.7560,0.2440,0.0000,1000
0.0366,0.0346,0.8360,0.1640,0.0000,1000
0.0366,0.0366,0.9070,0.0930,0.0000,1000
0.0366,0.0386,0.8980,0.1020,0.0000,1000
0.0366,0.0406,0.8910,0.1090,0.0000,1000
0.0366,0.0426,0.8880,0.1120,0.0000,1000
0.0366,0.0446,0.8230,0.1770,0.0000,1000
0.0366,0.0466,0.7250,0.2750,0.0000,1000
0.0366,0.0486,0.4690,0.5310,0.0000,1000
0.0366,0.0506,0.2390,0.7610,0.0000,1000
0.0386,0.0306,0.5000,0.5000,0.0000,1000
0.0386,0.0326,0.6890,0.3110,0.0000,1000
0.0386,0.0346,0.8320,0.1680,0.0000,1000
0.0386,0.0366,0.8770,0.1230,0.0000,1000
0.0386,0.0386,0.9200,0.0800,0.0000,1000
0.0386,0.0406,0.9040,0.0960,0.0000,1000
0.0386,0.0426,0.9080,0.0920,0.0000,1000
0.0386,0.0446,0.8670,0.1330,0.0000,1000
0.0386,0.0466,0.7820,0.2180,0.0000,1000
0.0386,0.0486,0.5070,0.4930,0.0000,1000
0.0386,0.0506,0.3110,0.6890,0.0000,1000
0.0406,0.0306,0.4030,0.5970,0.0000,1000
0.0406,0.0326,0.6750,0.3250,0.0000,1000
0.0406,0.0346,0.8280,0.1720,0.0000,1000
0.0406,0.0366,0.8890,0.1110,0.0000,1000
0.0406,0.0386,0.9160,0.0840,0.0000,1000
0.0406,0.0406,0.9240,0.0760,0.0000,1000
0.0406,0.0426,0.9180,0.0820,0.0000,1000
0.0406,0.0446,0.9070,0.0930,0.0000,1000
0.0406,0.0466,0.8590,0.1410,0.0000,1000
0.0406,0.0486,0.6120,0.3880,0.0000,1000
0.0406,0.0506,0.3390,0.6610,0.0000,1000
0.0426,0.0306,0.3400,0.6600,0.0000,1000
0.0426,0.0326,0.6080,0.3920,0.0000,1000
0.0426,0.0346,0.7770,0.2230,0.0000,1000
0.0426,0.0366,0.8690,0.1310,0.0000,1000
0.0426,0.0386,0.8980,0.1020,0.0000,1000
0.0426,0.0406,0.9420,0.0580,0.0000,1000
0.0426,0.0426,0.9320,0.0680,0.0000,1000
0.0426,0.0446,0.9300,0.0700,0.0000,1000
0.0426,0.0466,0.8920,0.1080,0.0000,1000
0.0426,0.0486,0.6970,0.3030,0.0000,1000
0.0426,0.0506,0.3940,0.6060,0.0000,1000
0.0446,0.0306,0.2620,0.7380,0.0000,1000
0.0446,0.0326,0.4720,0.5280,0.0000,1000
0.0446,0.0346,0.6950,0.3050,0.0000,1000
0.0446,0.0366,0.8450,0.1550,0.0000,1000
0.0446,0.0386,0.9070,0.0930,0.0000,1000
0.0446,0.0406,0.9390,0.0610,0.0000,1000
0.0446,0.0426,0.9430,0.0570,0.0000,1000
0.0446,0.0446,0.9320,0.0680,0.0000,1000
0.0446,0.0466,0.8970,0.1030,0.0000,1000
0.0446,0.0486,0.7530,0.2470,0.0000,1000
0.0446,0.0506,0.4680,0.5320,0.0000,1000
0.0466,0.0306,0.2520,0.7480,0.0000,1000
0.0466,0.0326,0.3950,0.6050,0.0000,1000
0.0466,0.0346,0.6190,0.3810,0.0000,1000
0.0466,0.0366,0.8220,0.1780,0.0000,1000
0.0466,0.0386,0.8810,0.1190,0.0000,1000
0.0466,0.0406,0.9400,0.0600,0.0000,1000
0.0466,0.0426,0.9450,0.0550,0.0000,1000
0.0466,0.0446,0.9300,0.0700,0.0000,1000
0.0466,0.0466,0.8970,0.1030,0.0000,1000
0.0466,0.0486,0.7560,0.2440,0.0000,1000
0.0466,0.0506,0.5100,0.4900,0.0000,1000
0.0486,0.0306,0.1860,0.8140,0.0000,1000
0.0486,0.0326,0.3160,0.6840,0.0000,1000
0.0486,0.0346,0.5480,0.4520,0.0000,1000
0.0486,0.0366,0.7790,0.2210,0.0000,1000
0.0486,0.0386,0.8740,0.1260,0.0000,1000
0.0486,0.0406,0.9110,0.0890,0.0000,1000
0.0486,0.0426,0.9270,0.0730,0.0000,1000
0.0486,0.0446,0.9300,0.0700,0.0000,1000
0.0486,0.0466,0.9100,0.0900,0.0000,1000
0.0486,0.0486,0.7940,0.2060,0.0000,1000
0.0486,0.0506,0.5810,0.4190,0.0000,1000
0.0506,0.0306,0.1920,0.8080,0.0000,1000
0.0506,0.0326,0.2760,0.7240,0.0000,1000
0.0506,0.0346,0.5270,0.4730,0.0000,1000
0.0506,0.0366,0.7370,0.2630,0.0000,1000
0.0506,0.0386,0.8250,0.1750,0.0000,1000
0.0506,0.0406,0.8640,0.1360,0.0000,1000
0.0506,0.0426,0.9050,0.0950,0.0000,1000
0.0506,0.0446,0.8900,0.1100,0.0000,1000
0.0506,0.0466,0.8780,0.1220,0.0000,1000
0.0506,0.0486,0.8040,0.1960,0.0000,1000
0.0506,0.0506,0.5680,0.4320,0.0000,1000
