time,agent0_obs0,agent0_obs1,agent0_obs2,agent0_obs3,agent0_obs4,agent0_obs5,agent0_obs6,agent0_obs7,agent0_obs8,agent0_obs9,agent0_obs10,agent0_obs11,agent0_obs12,agent0_obs13,agent0_obs14,agent0_obs15,agent0_obs16,agent0_obs17,agent0_obs18,agent0_obs19,agent0_obs20,agent0_obs21,agent0_obs22,agent0_obs23,agent0_obs24,agent0_obs25,agent0_obs26,agent0_obs27,agent0_obs28,agent0_obs29,agent0_obs30,agent0_obs31,agent0_obs32,agent0_obs33,agent0_obs34,agent0_obs35,agent0_obs36,agent0_obs37,agent0_obs38,agent0_obs39,agent0_obs40,agent0_obs41,agent0_obs42,agent0_obs43,agent0_obs44,agent0_obs45,agent1_obs0,agent1_obs1,agent1_obs2,agent1_obs3,agent1_obs4,agent1_obs5,agent1_obs6,agent1_obs7,agent1_obs8,agent1_obs9,agent1_obs10,agent1_obs11,agent1_obs12,agent1_obs13,agent1_obs14,agent1_obs15,agent1_obs16,agent1_obs17,agent1_obs18,agent1_obs19,agent1_obs20,agent1_obs21,agent1_obs22,agent1_obs23,agent1_obs24,agent1_obs25,agent1_obs26,agent1_obs27,agent1_obs28,agent1_obs29,agent1_obs30,agent1_obs31,agent1_obs32,agent1_obs33,agent1_obs34,agent1_obs35,agent1_obs36,agent1_obs37,agent1_obs38,agent1_obs39,agent1_obs40,agent1_obs41,agent1_obs42,agent1_obs43,agent1_obs44,agent1_obs45
0.000000000000000000e+00,3.000999927520751953e+00,-4.990000128746032715e-01,9.539999961853027344e-01,0.000000000000000000e+00,-1.000000047497451305e-03,-1.000000047497451305e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000094994902611e-03,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.000999927520751953e+00,-4.990000128746032715e-01,9.539999961853027344e-01,0.000000000000000000e+00,-1.000000047497451305e-03,-1.000000047497451305e-03,1.000000000000000000e+00,3.000999927520751953e+00,5.000000000000000000e-01,9.539999961853027344e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000094994902611e-03,1.000000000000000000e+00,-4.100000113248825073e-02,-2.689999938011169434e-01,7.440000176429748535e-01,0.000000000000000000e+00,-1.000000047497451305e-03,1.000000047497451305e-03,1.000000000000000000e+00,1.899999976158142090e-01,2.800000011920928955e-01,1.284999966621398926e+00,0.000000000000000000e+00,1.000000047497451305e-03,3.000000026077032089e-03,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.000999927520751953e+00,5.000000000000000000e-01,9.539999961853027344e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000094994902611e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.000999927520751953e+00,-4.990000128746032715e-01,9.539999961853027344e-01,0.000000000000000000e+00,-1.000000047497451305e-03,-1.000000047497451305e-03,1.000000000000000000e+00,3.000999927520751953e+00,5.000000000000000000e-01,9.539999961853027344e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000094994902611e-03,1.000000000000000000e+00,-4.100000113248825073e-02,-2.689999938011169434e-01,7.440000176429748535e-01,0.000000000000000000e+00,-1.000000047497451305e-03,1.000000047497451305e-03,1.000000000000000000e+00,1.899999976158142090e-01,2.800000011920928955e-01,1.284999966621398926e+00,0.000000000000000000e+00,1.000000047497451305e-03,3.000000026077032089e-03,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.000903799999999982e-02,3.000999927520751953e+00,-4.990000128746032715e-01,9.539999961853027344e-01,0.000000000000000000e+00,-1.000000047497451305e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000047497451305e-03,-2.000000094994902611e-03,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.000999927520751953e+00,-4.990000128746032715e-01,9.539999961853027344e-01,0.000000000000000000e+00,-1.000000047497451305e-03,0.000000000000000000e+00,1.000000000000000000e+00,3.000999927520751953e+00,5.000000000000000000e-01,9.539999961853027344e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000094994902611e-03,1.000000000000000000e+00,-4.100000113248825073e-02,-2.689999938011169434e-01,7.440000176429748535e-01,0.000000000000000000e+00,-1.000000047497451305e-03,1.000000047497451305e-03,1.000000000000000000e+00,1.899999976158142090e-01,2.800000011920928955e-01,1.284999966621398926e+00,0.000000000000000000e+00,1.000000047497451305e-03,1.000000047497451305e-03,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.000999927520751953e+00,5.000000000000000000e-01,9.539999961853027344e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000094994902611e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000047497451305e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.000999927520751953e+00,-4.990000128746032715e-01,9.539999961853027344e-01,0.000000000000000000e+00,-1.000000047497451305e-03,0.000000000000000000e+00,1.000000000000000000e+00,3.000999927520751953e+00,5.000000000000000000e-01,9.539999961853027344e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000094994902611e-03,1.000000000000000000e+00,-4.100000113248825073e-02,-2.689999938011169434e-01,7.440000176429748535e-01,0.000000000000000000e+00,-1.000000047497451305e-03,1.000000047497451305e-03,1.000000000000000000e+00,1.899999976158142090e-01,2.800000011920928955e-01,1.284999966621398926e+00,0.000000000000000000e+00,1.000000047497451305e-03,1.000000047497451305e-03,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
3.995032800000000023e-02,3.000999927520751953e+00,-4.990000128746032715e-01,9.539999961853027344e-01,0.000000000000000000e+00,-1.000000047497451305e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000047497451305e-03,-1.000000047497451305e-03,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.000999927520751953e+00,-4.990000128746032715e-01,9.539999961853027344e-01,0.000000000000000000e+00,-1.000000047497451305e-03,0.000000000000000000e+00,1.000000000000000000e+00,3.000999927520751953e+00,5.000000000000000000e-01,9.539999961853027344e-01,0.000000000000000000e+00,0.000000000000000000e+00,-4.999999888241291046e-03,1.000000000000000000e+00,-4.100000113248825073e-02,-2.689999938011169434e-01,7.440000176429748535e-01,0.000000000000000000e+00,-1.000000047497451305e-03,0.000000000000000000e+00,1.000000000000000000e+00,1.899999976158142090e-01,2.800000011920928955e-01,1.284999966621398926e+00,0.000000000000000000e+00,1.000000047497451305e-03,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.000999927520751953e+00,5.000000000000000000e-01,9.539999961853027344e-01,0.000000000000000000e+00,0.000000000000000000e+00,-4.999999888241291046e-03,0.000000000000000000e+00,-2.767542085844620914e-03,0.000000000000000000e+00,1.250000000000000000e-01,-1.500000059604644775e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.000999927520751953e+00,-4.990000128746032715e-01,9.539999961853027344e-01,0.000000000000000000e+00,-1.000000047497451305e-03,0.000000000000000000e+00,1.000000000000000000e+00,3.000999927520751953e+00,5.000000000000000000e-01,9.539999961853027344e-01,0.000000000000000000e+00,0.000000000000000000e+00,-4.999999888241291046e-03,1.000000000000000000e+00,-4.100000113248825073e-02,-2.689999938011169434e-01,7.440000176429748535e-01,0.000000000000000000e+00,-1.000000047497451305e-03,0.000000000000000000e+00,1.000000000000000000e+00,1.899999976158142090e-01,2.800000011920928955e-01,1.284999966621398926e+00,0.000000000000000000e+00,1.000000047497451305e-03,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
6.003607999999999861e-02,3.000999927520751953e+00,-4.990000128746032715e-01,9.539999961853027344e-01,0.000000000000000000e+00,-1.000000047497451305e-03,-1.700000092387199402e-02,-5.535105616271724857e-03,2.767531610646800644e-03,-7.659314324435107652e-06,-4.580024246210686045e-01,1.579975869236942276e-01,-8.745456111603500940e-04,1.000000000000000000e+00,0.000000000000000000e+00,3.000999927520751953e+00,-4.990000128746032715e-01,9.539999961853027344e-01,0.000000000000000000e+00,-1.000000047497451305e-03,-1.700000092387199402e-02,1.000000000000000000e+00,3.000999927520751953e+00,5.000000000000000000e-01,9.530000090599060059e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.599999845027923584e-02,1.000000000000000000e+00,-4.100000113248825073e-02,-2.689999938011169434e-01,7.440000176429748535e-01,1.000000047497451305e-03,-1.000000047497451305e-03,-3.000000026077032089e-03,1.000000000000000000e+00,1.899999976158142090e-01,2.800000011920928955e-01,1.284999966621398926e+00,0.000000000000000000e+00,1.000000047497451305e-03,-6.000000052154064178e-03,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.000999927520751953e+00,5.000000000000000000e-01,9.530000090599060059e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.599999845027923584e-02,1.107073013443236539e-02,-1.107005177654452055e-02,-6.127802951321967284e-05,7.250911657676560873e-01,-8.339599544795628372e-01,-8.233365947909306037e-03,0.000000000000000000e+00,1.000000000000000000e+00,3.000999927520751953e+00,-4.990000128746032715e-01,9.539999961853027344e-01,0.000000000000000000e+00,-1.000000047497451305e-03,-1.700000092387199402e-02,1.000000000000000000e+00,3.000999927520751953e+00,5.000000000000000000e-01,9.530000090599060059e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.599999845027923584e-02,1.000000000000000000e+00,-4.100000113248825073e-02,-2.689999938011169434e-01,7.440000176429748535e-01,1.000000047497451305e-03,-1.000000047497451305e-03,-3.000000026077032089e-03,1.000000000000000000e+00,1.899999976158142090e-01,2.800000011920928955e-01,1.284999966621398926e+00,0.000000000000000000e+00,1.000000047497451305e-03,-6.000000052154064178e-03,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.022564699999999716e-02,3.000999927520751953e+00,-4.990000128746032715e-01,9.520000219345092773e-01,1.000000047497451305e-03,0.000000000000000000e+00,-6.400000303983688354e-02,-2.767701143384226209e-02,8.301852316680013999e-03,-1.148932247285010255e-04,-1.272092514988087508e+00,4.388595539755807406e-01,-1.114942430596862349e-02,1.000000000000000000e+00,0.000000000000000000e+00,3.000999927520751953e+00,-4.990000128746032715e-01,9.520000219345092773e-01,1.000000047497451305e-03,0.000000000000000000e+00,-6.400000303983688354e-02,1.000000000000000000e+00,3.000999927520751953e+00,5.000000000000000000e-01,9.520000219345092773e-01,0.000000000000000000e+00,0.000000000000000000e+00,-6.599999964237213135e-02,1.000000000000000000e+00,-4.100000113248825073e-02,-2.689999938011169434e-01,7.440000176429748535e-01,6.000000052154064178e-03,-1.000000047497451305e-03,-1.099999994039535522e-02,1.000000000000000000e+00,1.899999976158142090e-01,2.800000011920928955e-01,1.284000039100646973e+00,2.000000094994902611e-03,2.000000094994902611e-03,-1.799999922513961792e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.000999927520751953e+00,5.000000000000000000e-01,9.520000219345092773e-01,0.000000000000000000e+00,0.000000000000000000e+00,-6.599999964237213135e-02,1.937760018942397133e-02,-2.490734473321754017e-02,-2.413423113659350638e-04,1.292602773196206867e+00,-1.454804387023139300e+00,-2.420090188913760765e-02,0.000000000000000000e+00,1.000000000000000000e+00,3.000999927520751953e+00,-4.990000128746032715e-01,9.520000219345092773e-01,1.000000047497451305e-03,0.000000000000000000e+00,-6.400000303983688354e-02,1.000000000000000000e+00,3.000999927520751953e+00,5.000000000000000000e-01,9.520000219345092773e-01,0.000000000000000000e+00,0.000000000000000000e+00,-6.599999964237213135e-02,1.000000000000000000e+00,-4.100000113248825073e-02,-2.689999938011169434e-01,7.440000176429748535e-01,6.000000052154064178e-03,-1.000000047497451305e-03,-1.099999994039535522e-02,1.000000000000000000e+00,1.899999976158142090e-01,2.800000011920928955e-01,1.284000039100646973e+00,2.000000094994902611e-03,2.000000094994902611e-03,-1.799999922513961792e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.996666099999999833e-02,3.000999927520751953e+00,-4.990000128746032715e-01,9.490000009536743164e-01,2.000000094994902611e-03,3.000000026077032089e-03,-1.330000013113021851e-01,-6.090388544395851367e-02,1.936411133412074825e-02,-5.898755645088425703e-04,-1.800707451227766320e+00,6.319481233603259085e-01,-3.653888971261922552e-02,1.000000000000000000e+00,0.000000000000000000e+00,3.000999927520751953e+00,-4.990000128746032715e-01,9.490000009536743164e-01,2.000000094994902611e-03,3.000000026077032089e-03,-1.330000013113021851e-01,1.000000000000000000e+00,3.000999927520751953e+00,5.000000000000000000e-01,9.490000009536743164e-01,-4.000000189989805222e-03,-4.000000189989805222e-03,-1.379999965429306030e-01,1.000000000000000000e+00,-3.999999910593032837e-02,-2.689999938011169434e-01,7.429999709129333496e-01,1.700000092387199402e-02,-2.000000094994902611e-03,-2.300000004470348358e-02,1.000000000000000000e+00,1.899999976158142090e-01,2.800000011920928955e-01,1.284000039100646973e+00,9.999999776482582092e-03,3.000000026077032089e-03,-3.400000184774398804e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.000999927520751953e+00,5.000000000000000000e-01,9.490000009536743164e-01,-4.000000189989805222e-03,-4.000000189989805222e-03,-1.379999965429306030e-01,4.988408947273736960e-02,-5.810848093852150065e-02,-1.450052743438175890e-03,1.673884550250701153e+00,-1.762005178275245720e+00,-8.410597786973698919e-02,0.000000000000000000e+00,1.000000000000000000e+00,3.000999927520751953e+00,-4.990000128746032715e-01,9.490000009536743164e-01,2.000000094994902611e-03,3.000000026077032089e-03,-1.330000013113021851e-01,1.000000000000000000e+00,3.000999927520751953e+00,5.000000000000000000e-01,9.490000009536743164e-01,-4.000000189989805222e-03,-4.000000189989805222e-03,-1.379999965429306030e-01,1.000000000000000000e+00,-3.999999910593032837e-02,-2.689999938011169434e-01,7.429999709129333496e-01,1.700000092387199402e-02,-2.000000094994902611e-03,-2.300000004470348358e-02,1.000000000000000000e+00,1.899999976158142090e-01,2.800000011920928955e-01,1.284000039100646973e+00,9.999999776482582092e-03,3.000000026077032089e-03,-3.400000184774398804e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.199421559999999942e-01,3.000999927520751953e+00,-4.990000128746032715e-01,9.449999928474426270e-01,4.999999888241291046e-03,1.099999994039535522e-02,-2.189999967813491821e-01,-9.694887582610521581e-02,3.593771916412658030e-02,-1.743613723036316343e-03,-1.800597695547358157e+00,7.635918871075174641e-01,-7.229943340215419512e-02,1.000000000000000000e+00,0.000000000000000000e+00,3.000999927520751953e+00,-4.990000128746032715e-01,9.449999928474426270e-01,4.999999888241291046e-03,1.099999994039535522e-02,-2.189999967813491821e-01,1.000000000000000000e+00,3.000999927520751953e+00,5.000000000000000000e-01,9.440000057220458984e-01,-1.099999994039535522e-02,-9.999999776482582092e-03,-2.230000048875808716e-01,1.000000000000000000e+00,-3.999999910593032837e-02,-2.689999938011169434e-01,7.429999709129333496e-01,3.500000014901161194e-02,-3.000000026077032089e-03,-3.700000047683715820e-02,1.000000000000000000e+00,1.909999996423721313e-01,2.800000011920928955e-01,1.282999992370605469e+00,2.500000037252902985e-02,4.999999888241291046e-03,-5.600000172853469849e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.000999927520751953e+00,5.000000000000000000e-01,9.440000057220458984e-01,-1.099999994039535522e-02,-9.999999776482582092e-03,-2.230000048875808716e-01,8.331076255217385873e-02,-9.128148745582631562e-02,-3.807205281432454735e-03,1.635977181777281686e+00,-1.496210148095866499e+00,-1.204235505920067395e-01,0.000000000000000000e+00,1.000000000000000000e+00,3.000999927520751953e+00,-4.990000128746032715e-01,9.449999928474426270e-01,4.999999888241291046e-03,1.099999994039535522e-02,-2.189999967813491821e-01,1.000000000000000000e+00,3.000999927520751953e+00,5.000000000000000000e-01,9.440000057220458984e-01,-1.099999994039535522e-02,-9.999999776482582092e-03,-2.230000048875808716e-01,1.000000000000000000e+00,-3.999999910593032837e-02,-2.689999938011169434e-01,7.429999709129333496e-01,3.500000014901161194e-02,-3.000000026077032089e-03,-3.700000047683715820e-02,1.000000000000000000e+00,1.909999996423721313e-01,2.800000011920928955e-01,1.282999992370605469e+00,2.500000037252902985e-02,4.999999888241291046e-03,-5.600000172853469849e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.399928219999999890e-01,3.000999927520751953e+00,-4.990000128746032715e-01,9.380000233650207520e-01,8.000000379979610443e-03,2.099999971687793732e-02,-3.160000145435333252e-01,-1.275251101463906744e-01,5.248252606472258996e-02,-3.351728721204066952e-03,-1.365195800070293064e+00,9.355969227020574097e-01,-1.181093630683442280e-01,1.000000000000000000e+00,0.000000000000000000e+00,3.000999927520751953e+00,-4.990000128746032715e-01,9.380000233650207520e-01,8.000000379979610443e-03,2.099999971687793732e-02,-3.160000145435333252e-01,1.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e-01,9.380000233650207520e-01,-2.099999971687793732e-02,-1.899999938905239105e-02,-3.240000009536743164e-01,1.000000000000000000e+00,-3.900000080466270447e-02,-2.689999938011169434e-01,7.419999837875366211e-01,5.700000002980232239e-02,-4.000000189989805222e-03,-5.200000107288360596e-02,1.000000000000000000e+00,1.909999996423721313e-01,2.800000011920928955e-01,1.281000018119812012e+00,4.399999976158142090e-02,8.000000379979610443e-03,-7.900000363588333130e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e-01,9.380000233650207520e-01,-2.099999971687793732e-02,-1.899999938905239105e-02,-3.240000009536743164e-01,1.169234251002171932e-01,-1.188716598911210287e-01,-6.965544855406201330e-03,1.243088705179919540e+00,-8.761512980450859578e-01,-9.350310889556907867e-02,0.000000000000000000e+00,1.000000000000000000e+00,3.000999927520751953e+00,-4.990000128746032715e-01,9.380000233650207520e-01,8.000000379979610443e-03,2.099999971687793732e-02,-3.160000145435333252e-01,1.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e-01,9.380000233650207520e-01,-2.099999971687793732e-02,-1.899999938905239105e-02,-3.240000009536743164e-01,1.000000000000000000e+00,-3.900000080466270447e-02,-2.689999938011169434e-01,7.419999837875366211e-01,5.700000002980232239e-02,-4.000000189989805222e-03,-5.200000107288360596e-02,1.000000000000000000e+00,1.909999996423721313e-01,2.800000011920928955e-01,1.281000018119812012e+00,4.399999976158142090e-02,8.000000379979610443e-03,-7.900000363588333130e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.600110969999999910e-01,3.000999927520751953e+00,-4.979999959468841553e-01,9.300000071525573730e-01,1.300000026822090149e-02,3.299999982118606567e-02,-4.169999957084655762e-01,-1.471191712655572637e-01,7.453907376345192404e-02,-5.495505337445388827e-03,-7.432096943193040595e-01,1.040232906727830420e+00,-1.505262606785379431e-01,1.000000000000000000e+00,0.000000000000000000e+00,3.000999927520751953e+00,-4.979999959468841553e-01,9.300000071525573730e-01,1.300000026822090149e-02,3.299999982118606567e-02,-4.169999957084655762e-01,1.000000000000000000e+00,3.000000000000000000e+00,4.990000128746032715e-01,9.290000200271606445e-01,-3.200000151991844177e-02,-2.999999932944774628e-02,-4.320000112056732178e-01,1.000000000000000000e+00,-3.700000047683715820e-02,-2.689999938011169434e-01,7.400000095367431641e-01,8.100000023841857910e-02,-4.000000189989805222e-03,-6.800000369548797607e-02,1.000000000000000000e+00,1.930000036954879761e-01,2.800000011920928955e-01,1.279000043869018555e+00,6.599999964237213135e-02,1.099999994039535522e-02,-1.040000021457672119e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,4.990000128746032715e-01,9.290000200271606445e-01,-3.200000151991844177e-02,-2.999999932944774628e-02,-4.320000112056732178e-01,1.392266662508184205e-01,-1.328110124764538824e-01,-6.493590586339234583e-03,6.755650999171776139e-01,-2.205079625111171782e-01,-1.181894164446463044e-02,0.000000000000000000e+00,1.000000000000000000e+00,3.000999927520751953e+00,-4.979999959468841553e-01,9.300000071525573730e-01,1.300000026822090149e-02,3.299999982118606567e-02,-4.169999957084655762e-01,1.000000000000000000e+00,3.000000000000000000e+00,4.990000128746032715e-01,9.290000200271606445e-01,-3.200000151991844177e-02,-2.999999932944774628e-02,-4.320000112056732178e-01,1.000000000000000000e+00,-3.700000047683715820e-02,-2.689999938011169434e-01,7.400000095367431641e-01,8.100000023841857910e-02,-4.000000189989805222e-03,-6.800000369548797607e-02,1.000000000000000000e+00,1.930000036954879761e-01,2.800000011920928955e-01,1.279000043869018555e+00,6.599999964237213135e-02,1.099999994039535522e-02,-1.040000021457672119e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.802361610000000058e-01,3.002000093460083008e+00,-4.970000088214874268e-01,9.190000295639038086e-01,1.999999955296516418e-02,4.699999839067459106e-02,-5.260000228881835938e-01,-1.529982554298666697e-01,9.364506814655904066e-02,-9.961679660160746574e-03,-1.876069772198699637e-01,9.985850105805478272e-01,-1.455163669688805672e-01,1.000000000000000000e+00,0.000000000000000000e+00,3.002000093460083008e+00,-4.970000088214874268e-01,9.190000295639038086e-01,1.999999955296516418e-02,4.699999839067459106e-02,-5.260000228881835938e-01,1.000000000000000000e+00,2.999000072479248047e+00,4.979999959468841553e-01,9.179999828338623047e-01,-4.600000008940696716e-02,-4.399999976158142090e-02,-5.310000181198120117e-01,1.000000000000000000e+00,-3.500000014901161194e-02,-2.700000107288360596e-01,7.390000224113464355e-01,1.040000021457672119e-01,-4.999999888241291046e-03,-8.399999886751174927e-02,1.000000000000000000e+00,1.949999928474426270e-01,2.809999883174896240e-01,1.276000022888183594e+00,8.900000154972076416e-02,1.400000043213367462e-02,-1.299999952316284180e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.999000072479248047e+00,4.979999959468841553e-01,9.179999828338623047e-01,-4.600000008940696716e-02,-4.399999976158142090e-02,-5.310000181198120117e-01,1.504380239080249093e-01,-1.355387099680440688e-01,-7.448196801424167290e-03,1.421067234701816062e-01,2.500507962347606750e-01,6.581556971566127068e-02,0.000000000000000000e+00,1.000000000000000000e+00,3.002000093460083008e+00,-4.970000088214874268e-01,9.190000295639038086e-01,1.999999955296516418e-02,4.699999839067459106e-02,-5.260000228881835938e-01,1.000000000000000000e+00,2.999000072479248047e+00,4.979999959468841553e-01,9.179999828338623047e-01,-4.600000008940696716e-02,-4.399999976158142090e-02,-5.310000181198120117e-01,1.000000000000000000e+00,-3.500000014901161194e-02,-2.700000107288360596e-01,7.390000224113464355e-01,1.040000021457672119e-01,-4.999999888241291046e-03,-8.399999886751174927e-02,1.000000000000000000e+00,1.949999928474426270e-01,2.809999883174896240e-01,1.276000022888183594e+00,8.900000154972076416e-02,1.400000043213367462e-02,-1.299999952316284180e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
