time,agent0_obs0,agent0_obs1,agent0_obs2,agent0_obs3,agent0_obs4,agent0_obs5,agent0_obs6,agent0_obs7,agent0_obs8,agent0_obs9,agent0_obs10,agent0_obs11,agent0_obs12,agent0_obs13,agent0_obs14,agent0_obs15,agent0_obs16,agent0_obs17,agent0_obs18,agent0_obs19,agent0_obs20,agent0_obs21,agent0_obs22,agent0_obs23,agent0_obs24,agent0_obs25,agent0_obs26,agent0_obs27,agent0_obs28,agent0_obs29,agent0_obs30,agent0_obs31,agent0_obs32,agent0_obs33,agent0_obs34,agent0_obs35,agent0_obs36,agent0_obs37,agent0_obs38,agent0_obs39,agent0_obs40,agent0_obs41,agent0_obs42,agent0_obs43,agent0_obs44,agent0_obs45,agent1_obs0,agent1_obs1,agent1_obs2,agent1_obs3,agent1_obs4,agent1_obs5,agent1_obs6,agent1_obs7,agent1_obs8,agent1_obs9,agent1_obs10,agent1_obs11,agent1_obs12,agent1_obs13,agent1_obs14,agent1_obs15,agent1_obs16,agent1_obs17,agent1_obs18,agent1_obs19,agent1_obs20,agent1_obs21,agent1_obs22,agent1_obs23,agent1_obs24,agent1_obs25,agent1_obs26,agent1_obs27,agent1_obs28,agent1_obs29,agent1_obs30,agent1_obs31,agent1_obs32,agent1_obs33,agent1_obs34,agent1_obs35,agent1_obs36,agent1_obs37,agent1_obs38,agent1_obs39,agent1_obs40,agent1_obs41,agent1_obs42,agent1_obs43,agent1_obs44,agent1_obs45
0.000000000000000000e+00,3.000000000000000000e+00,-5.000000000000000000e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,-5.000000000000000000e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-4.442405700683593750e-02,-2.741514146327972412e-01,7.858484983444213867e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.904561072587966919e-01,2.836692929267883301e-01,1.328107357025146484e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,-5.000000000000000000e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-4.442405700683593750e-02,-2.741514146327972412e-01,7.858484983444213867e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.904561072587966919e-01,2.836692929267883301e-01,1.328107357025146484e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000042e-02,3.000000000000000000e+00,-4.999997615814208984e-01,1.000063419342041016e+00,2.613094147818628699e-05,1.057553890859708190e-04,2.496960340067744255e-03,-3.014087677001953125e-03,7.748603820800781250e-04,-2.360343933105468750e-04,-5.140810608863830566e-01,1.425883471965789795e-01,-4.726470261812210083e-02,1.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,-4.999997615814208984e-01,1.000063419342041016e+00,2.613094147818628699e-05,1.057553890859708190e-04,2.496960340067744255e-03,1.000000000000000000e+00,2.999999761581420898e+00,4.999998211860656738e-01,1.000053405761718750e+00,-1.038792470353655517e-04,-8.444637205684557557e-05,9.219505009241402149e-04,1.000000000000000000e+00,-4.442375898361206055e-02,-2.741514146327972412e-01,7.859688997268676758e-01,1.213444047607481480e-04,-1.025186884362483397e-05,1.312466431409120560e-02,1.000000000000000000e+00,1.904564052820205688e-01,2.836692929267883301e-01,1.328222632408142090e+00,1.230374036822468042e-04,1.106498984881909564e-05,1.220128312706947327e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.999999761581420898e+00,4.999998211860656738e-01,1.000053405761718750e+00,-1.038792470353655517e-04,-8.444637205684557557e-05,9.219505009241402149e-04,2.457857131958007812e-03,-3.023386001586914062e-03,2.940416336059570312e-03,4.249972701072692871e-01,-5.190696716308593750e-01,2.969453632831573486e-01,0.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,-4.999997615814208984e-01,1.000063419342041016e+00,2.613094147818628699e-05,1.057553890859708190e-04,2.496960340067744255e-03,1.000000000000000000e+00,2.999999761581420898e+00,4.999998211860656738e-01,1.000053405761718750e+00,-1.038792470353655517e-04,-8.444637205684557557e-05,9.219505009241402149e-04,1.000000000000000000e+00,-4.442375898361206055e-02,-2.741514146327972412e-01,7.859688997268676758e-01,1.213444047607481480e-04,-1.025186884362483397e-05,1.312466431409120560e-02,1.000000000000000000e+00,1.904564052820205688e-01,2.836692929267883301e-01,1.328222632408142090e+00,1.230374036822468042e-04,1.106498984881909564e-05,1.220128312706947327e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000083e-02,3.000003576278686523e+00,-4.999871253967285156e-01,9.999654293060302734e-01,5.474212812259793282e-04,1.801493111997842789e-03,-1.754796691238880157e-02,-2.132439613342285156e-02,7.552146911621093750e-03,-1.963138580322265625e-03,-1.350404977798461914e+00,6.330984830856323242e-01,-1.304742395877838135e-01,1.000000000000000000e+00,0.000000000000000000e+00,3.000003576278686523e+00,-4.999871253967285156e-01,9.999654293060302734e-01,5.474212812259793282e-04,1.801493111997842789e-03,-1.754796691238880157e-02,1.000000000000000000e+00,2.999987363815307617e+00,4.999894499778747559e-01,9.999059438705444336e-01,-1.783546176739037037e-03,-1.499584643170237541e-03,-2.101603895425796509e-02,1.000000000000000000e+00,-4.440835490822792053e-02,-2.741526961326599121e-01,7.863481640815734863e-01,2.261437708511948586e-03,-1.895122550195083022e-04,2.613694779574871063e-02,1.000000000000000000e+00,1.904719173908233643e-01,2.836706638336181641e-01,1.328561782836914062e+00,2.270369557663798332e-03,2.027716982411220670e-04,2.250631898641586304e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.999987363815307617e+00,4.999894499778747559e-01,9.999059438705444336e-01,-1.783546176739037037e-03,-1.499584643170237541e-03,-2.101603895425796509e-02,1.828241348266601562e-02,-2.147269248962402344e-02,9.669065475463867188e-03,1.228132843971252441e+00,-1.359109401702880859e+00,3.641485869884490967e-01,0.000000000000000000e+00,1.000000000000000000e+00,3.000003576278686523e+00,-4.999871253967285156e-01,9.999654293060302734e-01,5.474212812259793282e-04,1.801493111997842789e-03,-1.754796691238880157e-02,1.000000000000000000e+00,2.999987363815307617e+00,4.999894499778747559e-01,9.999059438705444336e-01,-1.783546176739037037e-03,-1.499584643170237541e-03,-2.101603895425796509e-02,1.000000000000000000e+00,-4.440835490822792053e-02,-2.741526961326599121e-01,7.863481640815734863e-01,2.261437708511948586e-03,-1.895122550195083022e-04,2.613694779574871063e-02,1.000000000000000000e+00,1.904719173908233643e-01,2.836706638336181641e-01,1.328561782836914062e+00,2.270369557663798332e-03,2.027716982411220670e-04,2.250631898641586304e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.999999999999999778e-02,3.000031471252441406e+00,-4.999093413352966309e-01,9.993054270744323730e-01,2.865863963961601257e-03,7.222002372145652771e-03,-5.451718345284461975e-02,-5.178785324096679688e-02,2.559828758239746094e-02,-4.904508590698242188e-03,-1.601355671882629395e+00,1.225610494613647461e+00,-1.703618913888931274e-01,1.000000000000000000e+00,0.000000000000000000e+00,3.000031471252441406e+00,-4.999093413352966309e-01,9.993054270744323730e-01,2.865863963961601257e-03,7.222002372145652771e-03,-5.451718345284461975e-02,1.000000000000000000e+00,2.999910116195678711e+00,4.999227523803710938e-01,9.991619586944580078e-01,-7.126176264137029648e-03,-6.338117644190788269e-03,-5.959172919392585754e-02,1.000000000000000000e+00,-4.430640488862991333e-02,-2.741611897945404053e-01,7.869851589202880859e-01,9.774931706488132477e-03,-8.141555590555071831e-04,3.868952393531799316e-02,1.000000000000000000e+00,1.905736774206161499e-01,2.836797535419464111e-01,1.329091548919677734e+00,9.712619706988334656e-03,8.656518766656517982e-04,3.099253028631210327e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.999910116195678711e+00,4.999227523803710938e-01,9.991619586944580078e-01,-7.126176264137029648e-03,-6.338117644190788269e-03,-5.959172919392585754e-02,4.723381996154785156e-02,-5.215573310852050781e-02,1.783323287963867188e-02,1.596592068672180176e+00,-1.613237857818603516e+00,4.445529282093048096e-01,0.000000000000000000e+00,1.000000000000000000e+00,3.000031471252441406e+00,-4.999093413352966309e-01,9.993054270744323730e-01,2.865863963961601257e-03,7.222002372145652771e-03,-5.451718345284461975e-02,1.000000000000000000e+00,2.999910116195678711e+00,4.999227523803710938e-01,9.991619586944580078e-01,-7.126176264137029648e-03,-6.338117644190788269e-03,-5.959172919392585754e-02,1.000000000000000000e+00,-4.430640488862991333e-02,-2.741611897945404053e-01,7.869851589202880859e-01,9.774931706488132477e-03,-8.141555590555071831e-04,3.868952393531799316e-02,1.000000000000000000e+00,1.905736774206161499e-01,2.836797535419464111e-01,1.329091548919677734e+00,9.712619706988334656e-03,8.656518766656517982e-04,3.099253028631210327e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.000000000000000167e-02,3.000132083892822266e+00,-4.996856451034545898e-01,9.977883100509643555e-01,8.364132605493068695e-03,1.669119112193584442e-02,-1.038869544863700867e-01,-8.152937889099121094e-02,5.335164070129394531e-02,-8.693695068359375000e-03,-1.277375817298889160e+00,1.490853190422058105e+00,-2.030381560325622559e-01,1.000000000000000000e+00,0.000000000000000000e+00,3.000132083892822266e+00,-4.996856451034545898e-01,9.977883100509643555e-01,8.364132605493068695e-03,1.669119112193584442e-02,-1.038869544863700867e-01,1.000000000000000000e+00,2.999689817428588867e+00,4.997214078903198242e-01,9.975302815437316895e-01,-1.640178263187408447e-02,-1.535497326403856277e-02,-1.103182137012481689e-01,1.000000000000000000e+00,-4.399316385388374329e-02,-2.741872370243072510e-01,7.878676056861877441e-01,2.406087704002857208e-02,-1.996217528358101845e-03,5.078323930501937866e-02,1.000000000000000000e+00,1.908834874629974365e-01,2.837073802947998047e-01,1.329776525497436523e+00,2.370153181254863739e-02,2.113769529387354851e-03,3.808571770787239075e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.999689817428588867e+00,4.997214078903198242e-01,9.975302815437316895e-01,-1.640178263187408447e-02,-1.535497326403856277e-02,-1.103182137012481689e-01,7.782387733459472656e-02,-8.202958106994628906e-02,2.682685852050781250e-02,1.361717939376831055e+00,-1.272389173507690430e+00,4.588661789894104004e-01,0.000000000000000000e+00,1.000000000000000000e+00,3.000132083892822266e+00,-4.996856451034545898e-01,9.977883100509643555e-01,8.364132605493068695e-03,1.669119112193584442e-02,-1.038869544863700867e-01,1.000000000000000000e+00,2.999689817428588867e+00,4.997214078903198242e-01,9.975302815437316895e-01,-1.640178263187408447e-02,-1.535497326403856277e-02,-1.103182137012481689e-01,1.000000000000000000e+00,-4.399316385388374329e-02,-2.741872370243072510e-01,7.878676056861877441e-01,2.406087704002857208e-02,-1.996217528358101845e-03,5.078323930501937866e-02,1.000000000000000000e+00,1.908834874629974365e-01,2.837073802947998047e-01,1.329776525497436523e+00,2.370153181254863739e-02,2.113769529387354851e-03,3.808571770787239075e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000056e-01,3.000375747680664062e+00,-4.992443323135375977e-01,9.951968789100646973e-01,1.747846975922584534e-02,2.901331335306167603e-02,-1.623841375112533569e-01,-1.026754379272460938e-01,8.185601234436035156e-02,-1.242136955261230469e-02,-7.970385551452636719e-01,1.273675203323364258e+00,-1.559606790542602539e-01,1.000000000000000000e+00,0.000000000000000000e+00,3.000375747680664062e+00,-4.992443323135375977e-01,9.951968789100646973e-01,1.747846975922584534e-02,2.901331335306167603e-02,-1.623841375112533569e-01,1.000000000000000000e+00,2.999257087707519531e+00,4.993075728416442871e-01,9.948004484176635742e-01,-2.836547978222370148e-02,-2.768912725150585175e-02,-1.698838770389556885e-01,1.000000000000000000e+00,-4.334025457501411438e-02,-2.742413282394409180e-01,7.889947891235351562e-01,4.396877437829971313e-02,-3.639480331912636757e-03,6.327570229768753052e-02,1.000000000000000000e+00,1.915244311094284058e-01,2.837646007537841797e-01,1.330599546432495117e+00,4.303149878978729248e-02,3.843927988782525063e-03,4.488337412476539612e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.999257087707519531e+00,4.993075728416442871e-01,9.948004484176635742e-01,-2.836547978222370148e-02,-2.768912725150585175e-02,-1.698838770389556885e-01,1.007401943206787109e-01,-1.029026508331298828e-01,3.567838668823242188e-02,8.761162757873535156e-01,-7.782163023948669434e-01,4.258304834365844727e-01,0.000000000000000000e+00,1.000000000000000000e+00,3.000375747680664062e+00,-4.992443323135375977e-01,9.951968789100646973e-01,1.747846975922584534e-02,2.901331335306167603e-02,-1.623841375112533569e-01,1.000000000000000000e+00,2.999257087707519531e+00,4.993075728416442871e-01,9.948004484176635742e-01,-2.836547978222370148e-02,-2.768912725150585175e-02,-1.698838770389556885e-01,1.000000000000000000e+00,-4.334025457501411438e-02,-2.742413282394409180e-01,7.889947891235351562e-01,4.396877437829971313e-02,-3.639480331912636757e-03,6.327570229768753052e-02,1.000000000000000000e+00,1.915244311094284058e-01,2.837646007537841797e-01,1.330599546432495117e+00,4.303149878978729248e-02,3.843927988782525063e-03,4.488337412476539612e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.199999999999999956e-01,3.000829458236694336e+00,-4.985417723655700684e-01,9.913716316223144531e-01,2.945275604724884033e-02,4.276726022362709045e-02,-2.276025861501693726e-01,-1.154146194458007812e-01,1.033763885498046875e-01,-1.519012451171875000e-02,-4.854980707168579102e-01,8.219966292381286621e-01,-1.114320233464241028e-01,1.000000000000000000e+00,0.000000000000000000e+00,3.000829458236694336e+00,-4.985417723655700684e-01,9.913716316223144531e-01,2.945275604724884033e-02,4.276726022362709045e-02,-2.276025861501693726e-01,1.000000000000000000e+00,2.998571157455444336e+00,4.986274838447570801e-01,9.908207058906555176e-01,-4.165405407547950745e-02,-4.198572039604187012e-02,-2.352794110774993896e-01,1.000000000000000000e+00,-4.225512966513633728e-02,-2.743310034275054932e-01,7.903747558593750000e-01,6.725908070802688599e-02,-5.549634806811809540e-03,7.597836852073669434e-02,1.000000000000000000e+00,1.925839185714721680e-01,2.838592529296875000e-01,1.331556320190429688e+00,6.553145498037338257e-02,5.852337460964918137e-03,5.137278139591217041e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.998571157455444336e+00,4.986274838447570801e-01,9.908207058906555176e-01,-4.165405407547950745e-02,-4.198572039604187012e-02,-2.352794110774993896e-01,1.145870685577392578e-01,-1.153562068939208984e-01,4.339623451232910156e-02,5.089958906173706055e-01,-4.836542904376983643e-01,3.373328149318695068e-01,0.000000000000000000e+00,1.000000000000000000e+00,3.000829458236694336e+00,-4.985417723655700684e-01,9.913716316223144531e-01,2.945275604724884033e-02,4.276726022362709045e-02,-2.276025861501693726e-01,1.000000000000000000e+00,2.998571157455444336e+00,4.986274838447570801e-01,9.908207058906555176e-01,-4.165405407547950745e-02,-4.198572039604187012e-02,-2.352794110774993896e-01,1.000000000000000000e+00,-4.225512966513633728e-02,-2.743310034275054932e-01,7.903747558593750000e-01,6.725908070802688599e-02,-5.549634806811809540e-03,7.597836852073669434e-02,1.000000000000000000e+00,1.925839185714721680e-01,2.838592529296875000e-01,1.331556320190429688e+00,6.553145498037338257e-02,5.852337460964918137e-03,5.137278139591217041e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.400000000000000133e-01,3.001538991928100586e+00,-4.975580275058746338e-01,9.861951470375061035e-01,4.303573817014694214e-02,5.710454657673835754e-02,-2.977447807788848877e-01,-1.241402626037597656e-01,1.153643131256103516e-01,-1.740407943725585938e-02,-4.113163053989410400e-01,3.204364180564880371e-01,-1.020573079586029053e-01,1.000000000000000000e+00,0.000000000000000000e+00,3.001538991928100586e+00,-4.975580275058746338e-01,9.861951470375061035e-01,4.303573817014694214e-02,5.710454657673835754e-02,-2.977447807788848877e-01,1.000000000000000000e+00,2.997609138488769531e+00,4.976463913917541504e-01,9.855378270149230957e-01,-5.636514723300933838e-02,-5.816796422004699707e-02,-2.972610890865325928e-01,1.000000000000000000e+00,-4.068668931722640991e-02,-2.744600474834442139e-01,7.920072674751281738e-01,9.231880307197570801e-02,-7.563331630080938339e-03,8.849013596773147583e-02,1.000000000000000000e+00,1.941099613904953003e-01,2.839953005313873291e-01,1.332638502120971680e+00,8.971167355775833130e-02,7.970010861754417419e-03,5.735664069652557373e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.997609138488769531e+00,4.976463913917541504e-01,9.855378270149230957e-01,-5.636514723300933838e-02,-5.816796422004699707e-02,-2.972610890865325928e-01,1.231181621551513672e-01,-1.242387294769287109e-01,4.952001571655273438e-02,3.627900481224060059e-01,-4.261423647403717041e-01,2.658761143684387207e-01,0.000000000000000000e+00,1.000000000000000000e+00,3.001538991928100586e+00,-4.975580275058746338e-01,9.861951470375061035e-01,4.303573817014694214e-02,5.710454657673835754e-02,-2.977447807788848877e-01,1.000000000000000000e+00,2.997609138488769531e+00,4.976463913917541504e-01,9.855378270149230957e-01,-5.636514723300933838e-02,-5.816796422004699707e-02,-2.972610890865325928e-01,1.000000000000000000e+00,-4.068668931722640991e-02,-2.744600474834442139e-01,7.920072674751281738e-01,9.231880307197570801e-02,-7.563331630080938339e-03,8.849013596773147583e-02,1.000000000000000000e+00,1.941099613904953003e-01,2.839953005313873291e-01,1.332638502120971680e+00,8.971167355775833130e-02,7.970010861754417419e-03,5.735664069652557373e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.600000000000000033e-01,3.002527952194213867e+00,-4.962817430496215820e-01,9.796003103256225586e-01,5.741661414504051208e-02,7.226524502038955688e-02,-3.680810928344726562e-01,-1.326997280120849609e-01,1.179172992706298828e-01,-1.917099952697753906e-02,-4.568333923816680908e-01,-6.686934828758239746e-02,-7.254252582788467407e-02,1.000000000000000000e+00,0.000000000000000000e+00,3.002527952194213867e+00,-4.962817430496215820e-01,9.796003103256225586e-01,5.741661414504051208e-02,7.226524502038955688e-02,-3.680810928344726562e-01,1.000000000000000000e+00,2.996329784393310547e+00,4.963154196739196777e-01,9.791444540023803711e-01,-7.388459891080856323e-02,-7.751262933015823364e-02,-3.431207835674285889e-01,1.000000000000000000e+00,-3.860476240515708923e-02,-2.746296823024749756e-01,7.938875555992126465e-01,1.187591329216957092e-01,-9.602217935025691986e-03,1.006766483187675476e-01,1.000000000000000000e+00,1.961316168308258057e-01,2.841740250587463379e-01,1.333835840225219727e+00,1.152453348040580750e-01,1.011695899069309235e-02,6.282758712768554688e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.996329784393310547e+00,4.963154196739196777e-01,9.791444540023803711e-01,-7.388459891080856323e-02,-7.751262933015823364e-02,-3.431207835674285889e-01,1.302666664123535156e-01,-1.331455707550048828e-01,5.441427230834960938e-02,3.708751201629638672e-01,-4.748835563659667969e-01,2.169743925333023071e-01,0.000000000000000000e+00,1.000000000000000000e+00,3.002527952194213867e+00,-4.962817430496215820e-01,9.796003103256225586e-01,5.741661414504051208e-02,7.226524502038955688e-02,-3.680810928344726562e-01,1.000000000000000000e+00,2.996329784393310547e+00,4.963154196739196777e-01,9.791444540023803711e-01,-7.388459891080856323e-02,-7.751262933015823364e-02,-3.431207835674285889e-01,1.000000000000000000e+00,-3.860476240515708923e-02,-2.746296823024749756e-01,7.938875555992126465e-01,1.187591329216957092e-01,-9.602217935025691986e-03,1.006766483187675476e-01,1.000000000000000000e+00,1.961316168308258057e-01,2.841740250587463379e-01,1.333835840225219727e+00,1.152453348040580750e-01,1.011695899069309235e-02,6.282758712768554688e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.799999999999999933e-01,3.003812551498413086e+00,-4.946852028369903564e-01,9.716661572456359863e-01,7.277289777994155884e-02,8.966825902462005615e-02,-4.287147521972656250e-01,-1.422731876373291016e-01,1.149017810821533203e-01,-2.053093910217285156e-02,-4.959467351436614990e-01,-2.112478166818618774e-01,-6.542667746543884277e-02,1.000000000000000000e+00,0.000000000000000000e+00,3.003812551498413086e+00,-4.946852028369903564e-01,9.716661572456359863e-01,7.277289777994155884e-02,8.966825902462005615e-02,-4.287147521972656250e-01,1.000000000000000000e+00,2.994664907455444336e+00,4.945594072341918945e-01,9.720373153686523438e-01,-9.553088992834091187e-02,-1.013194099068641663e-01,-3.655116856098175049e-01,1.000000000000000000e+00,-3.598014265298843384e-02,-2.748400270938873291e-01,7.960051894187927246e-01,1.467789709568023682e-01,-1.163261849433183670e-02,1.120020598173141479e-01,1.000000000000000000e+00,1.986776441335678101e-01,2.843956649303436279e-01,1.335135817527770996e+00,1.423382163047790527e-01,1.225998997688293457e-02,6.744500994682312012e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.994664907455444336e+00,4.945594072341918945e-01,9.720373153686523438e-01,-9.553088992834091187e-02,-1.013194099068641663e-01,-3.655116856098175049e-01,1.382286548614501953e-01,-1.430885791778564453e-01,5.859947204589843750e-02,4.338636398315429688e-01,-5.132495164871215820e-01,1.986073404550552368e-01,0.000000000000000000e+00,1.000000000000000000e+00,3.003812551498413086e+00,-4.946852028369903564e-01,9.716661572456359863e-01,7.277289777994155884e-02,8.966825902462005615e-02,-4.287147521972656250e-01,1.000000000000000000e+00,2.994664907455444336e+00,4.945594072341918945e-01,9.720373153686523438e-01,-9.553088992834091187e-02,-1.013194099068641663e-01,-3.655116856098175049e-01,1.000000000000000000e+00,-3.598014265298843384e-02,-2.748400270938873291e-01,7.960051894187927246e-01,1.467789709568023682e-01,-1.163261849433183670e-02,1.120020598173141479e-01,1.000000000000000000e+00,1.986776441335678101e-01,2.843956649303436279e-01,1.335135817527770996e+00,1.423382163047790527e-01,1.225998997688293457e-02,6.744500994682312012e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
